Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 19/11/2019 14:44
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 18/11/2019

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor
BB - 2014008;12460;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Contrapartida das Obras do Programa de Aceleração do Crescimento (PAC), do Programa Minha Casa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamente associados à Copa de 2014. - Art. 9º-S da Resolução CMN nº 2.827, de 30/03/2001, com as alterações das Resoluções nº 4.098, de 28/06/2012, nº 4.158, de 22/11/2012, nº 4.182, de 31/01/2013, e nº 4.270, de setembro de 2013. Lei municipal nº 10.096, de 27/09/2013";17944.001267/2014-71;2014001541;15/10/2014;31/12/2019;TJLP;Tranche Prevista 1: Pós-fixado;Tranche Prevista 1: 100% TJLP + 2,1%;R$;52.360.000,00;52.360.000,00;0,00;
BB - 2014010;12476;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Restauração e Revitalização de Rodovias Pavimentadas e Pavimentação de Rodovias";17944.000799/2014-91;2014001628;27/10/2014;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;130.000.000,00;8.132.802,32;117.935.997,75;
BB - 2014012;12477;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa PROCONCRETO - Pontes de Concreto";17944.000800/2014-87;2014001634;27/10/2014;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;470.000.000,00;41.047.287,36;415.115.528,36;
BB - 2014015;12467;Ribeirão Preto;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Contrapartida das Obras do Programa de Aceleração do Crescimento II (PAC 2).";17944.000826/2014-25;2014001579;24/10/2014;31/12/2019;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 2,1%, Tranche Prevista 1: 100% TJLP + 2,1%;R$;37.404.434,30;3.989.246,99;24.135.253,74;
BB - 2014925;12466;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Investimentos do Estado de São Paulo - Fase 2 (Leis estaduais nº 14.990, de 29 de abril de 2013, e nº 15.213, de 19 de novembro de 2013)";17944.000084/2014-38;2014000332;07/03/2014;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,25%, Tranche Prevista 1: 100% Libor + 4,25%;R$;1.537.318.000,00;0,00;2.650.147.437,907447;
BB - 2014968;12449;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Modernização do Estado e de sua Infraestrutura Econômica e Social - PROESTADO (Leis estaduais nº 2.701, de 07/03/2013, e nº 2.763, de 05/09/2013)";17944.000515/2014-66;2014001076;03/07/2014;30/03/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 100% CDI Juros + 20%;R$;260.000.000,00;0,00;251.612.903,22;
BB - 2014994;12481;ELETROBRÁS;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Interna;BB;Bancos Federais;Receitas Próprias;Amortizando;"Contrato de Abertura de Crédito destinado ao atendimento das necessidades de capital de giro e do plano de investimentos da ELETROBRAS";17944.000938/2014-86;2014001598, 2014001299, 2014001596, 2014001597, 2014001297, 2014001594, 2014001298, 2014001595, 2015000130, 2015000131, 2015000132, 2015000133, 2014001589, 2014001588, 2014001289, 2014001300, 2014001295, 2014001592, 2015000123, 2014001296, 2014001593, 2015000124, 2014001293, 2014001590, 2015000125, 2014001294, 2014001591, 2015000126, 2014001291, 2014001292, 2014001290, 2015000127, 2015000128, 2015000129;12/08/2014;30/04/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 10: Pós-fixado, Tranche Efetiva 11: Pós-fixado, Tranche Efetiva 12: Pós-fixado, Tranche Efetiva 13: Pós-fixado, Tranche Efetiva 14: Pós-fixado, Tranche Efetiva 15: Pós-fixado, Tranche Efetiva 16: Pós-fixado, Tranche Efetiva 17: Pós-fixado, Tranche Efetiva 18: Pós-fixado, Tranche Efetiva 19: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Efetiva 20: Pós-fixado, Tranche Efetiva 21: Pós-fixado, Tranche Efetiva 22: Pós-fixado, Tranche Efetiva 23: Pós-fixado, Tranche Efetiva 24: Pós-fixado, Tranche Efetiva 25: Pós-fixado, Tranche Efetiva 26: Pós-fixado, Tranche Efetiva 27: Pós-fixado, Tranche Efetiva 28: Pós-fixado, Tranche Efetiva 29: Pós-fixado, Tranche Efetiva 3: Pós-fixado, Tranche Efetiva 30: Pós-fixado, Tranche Efetiva 31: Pós-fixado, Tranche Efetiva 32: Pós-fixado, Tranche Efetiva 33: Pós-fixado, Tranche Efetiva 34: Pós-fixado, Tranche Efetiva 4: Pós-fixado, Tranche Efetiva 5: Pós-fixado, Tranche Efetiva 6: Pós-fixado, Tranche Efetiva 7: Pós-fixado, Tranche Efetiva 8: Pós-fixado, Tranche Efetiva 9: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 119,5% CDI Juros + 0%, Tranche Efetiva 10: 119,5% CDI Juros + 0%, Tranche Efetiva 11: 119,5% CDI Juros + 0%, Tranche Efetiva 12: 119,5% CDI Juros + 0%, Tranche Efetiva 13: 119,5% CDI Juros + 0%, Tranche Efetiva 14: 119,5% CDI Juros + 0%, Tranche Efetiva 15: 119,5% CDI Juros + 0%, Tranche Efetiva 16: 119,5% CDI Juros + 0%, Tranche Efetiva 17: 119,5% CDI Juros + 0%, Tranche Efetiva 18: 119,5% CDI Juros + 0%, Tranche Efetiva 19: 119,5% CDI Juros + 0%, Tranche Efetiva 2: 119,5% CDI Juros + 0%, Tranche Efetiva 20: 119,5% CDI Juros + 0%, Tranche Efetiva 21: 119,5% CDI Juros + 0%, Tranche Efetiva 22: 119,5% CDI Juros + 0%, Tranche Efetiva 23: 119,5% CDI Juros + 0%, Tranche Efetiva 24: 119,5% CDI Juros + 0%, Tranche Efetiva 25: 119,5% CDI Juros + 0%, Tranche Efetiva 26: 119,5% CDI Juros + 0%, Tranche Efetiva 27: 119,5% CDI Juros + 0%, Tranche Efetiva 28: 119,5% CDI Juros + 0%, Tranche Efetiva 29: 119,5% CDI Juros + 0%, Tranche Efetiva 3: 119,5% CDI Juros + 0%, Tranche Efetiva 30: 119,5% CDI Juros + 0%, Tranche Efetiva 31: 119,5% CDI Juros + 0%, Tranche Efetiva 32: 119,5% CDI Juros + 0%, Tranche Efetiva 33: 119,5% CDI Juros + 0%, Tranche Efetiva 34: 119,5% CDI Juros + 0%, Tranche Efetiva 4: 119,5% CDI Juros + 0%, Tranche Efetiva 5: 119,5% CDI Juros + 0%, Tranche Efetiva 6: 119,5% CDI Juros + 0%, Tranche Efetiva 7: 119,5% CDI Juros + 0%, Tranche Efetiva 8: 119,5% CDI Juros + 0%, Tranche Efetiva 9: 119,5% CDI Juros + 0%, Tranche Prevista 1: 100% CDI Juros + 19,5%;R$;4.000.000.000,00;0,00;1.988.397.752,12;
BB - 2014995;12458;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Minha Casa Minha Vida - Art. 9º-S da Resolução CMN nº 2.827, de 30/03/2001, com as alterações das Resoluções nº 4.098, de 28/06/2012 e nº 4.158, de 22/11/2012";17944.001852/2013-90;2014001090, 2018000201;04/07/2014;31/03/2018;TJLP;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% TJLP + 2,1%, Tranche Efetiva 2: 100% TJLP + 2,1%, Tranche Prevista 1: 100% TJLP + 2,1%;R$;68.253.400,00;0,00;58.088.762,43;
BB - 2015001;12444;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Complementação de recursos para realização de melhorias viárias, adequação e implantação de calçadas, implantação de malha cicloviária, aporte de contrapartida de recursos do tesouro distrital à execução de empreendimentos de infraestrutura (Lei Distrital nº 5.394, de 27/08/2014)";17944.001313/2014-31;2015000134;29/01/2015;31/03/2018;DOLAR-DOS-EUA - PARIDADE VENDA;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 4,75%, Tranche Prevista 1: 100% Libor + 4,75%;R$;500.000.000,00;0,00;612.086.230,9823041;
BB - 2016018;12451;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Sustentação dos Investimentos Públicos - PROSIP (Lei estadual nº 4.264, de 27/11/2015)";17944.000658/2016-30;2016001192;30/11/2016;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;300.000.000,00;30.000.000,00;220.000.000,00;
BB - 2016024;12436;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Infraestrutura Urbana e Social (infraestrutura urbana e social e desenvolvimento institucional). Lei Distrital nº 5.731, de 07/11/2016";17944.001255/2016-16;2017000009;29/12/2016;30/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;600.000.000,00;37.827.216,21;444.329.547,66;
BB - 2017003;12661;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Financiamento de despesas de capital constantes do Programa de Ajuste Fiscal vinculado ao Contrato de Refinanciamento firmado com a União no âmbito da Lei nº 9.496/2017 e na Lei Orçamentária Anual - LOA 2017";17944.000618/2017-79;2018000301;28/12/2017;31/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;300.000.000,00;0,00;260.000.000,00;
BB - 2017013;12616;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Infra-estrutura - PROINFRA";17944.001273/2016-90;2017000423;18/08/2017;31/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;600.000.000,00;0,00;480.000.000,00;
BB - 2017024;12617;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Ajuste Fiscal/PAF - Destinada ao Pagamento da Amortização da Dívida Pública do Biênio 2017 a 2018 e consequente manutenção da capacidade de investimentos do Estado previstos no PPA e na LOA";17944.000604/2017-55;2017000820;23/11/2017;31/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;1.150.000.000,00;0,00;1.086.111.111,12;
BB - 2017026;12618;Maranhão;Estados;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Interna;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Maranhão mais Justo e Competitivo II";17944.000313/2017-67;2017000889;12/12/2017;31/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;55.692.000,00;0,00;48.266.400,00;
BB - 2018031;12725;Alagoas;Estados;AL;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Conecta Alagoas";17944.104841/2018-75;2018001303;13/08/2018;09/12/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Efetiva 2: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;300.000.000,00;80.000.000,00;205.333.333,34;
BB - 2018036;12730;Rio Branco;Municípios;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Financiamento de despesas de capital constantes do PPA e LOA2018";17944.107629/2018-60;2018001604;24/10/2018;10/02/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;14.500.000,00;0,00;14.499.999,99;
BB - 2018038;12729;Manaus;Municípios;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Projeto de Requalificação Urbana e Viária na cidade de Manaus - Requalifica Manaus";17944.106159/2018-17;2018001642;31/10/2018;10/02/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;100.000.000,00;0,00;100.000.000,00;
BB - 2018052;12761;Teresina;Municípios;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Financiamento de despesas de capital constantes do PPA e da LOA. Lei Municipal nº 5.304, de 16/11/2018";17944.110022/2018-67;2019000081;28/12/2018;31/12/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%;R$;120.000.000,00;114.900.000,00;5.100.000,00;
BB - 2019060;12766;Serra;Municípios;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Financiamento de despesas de capital constantes do PPA e da LOA. Lei Municipal nº 4.880, de 8 de agosto de 2018";17944.110103/2018-67;2019000296;13/02/2019;31/12/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;130.000.000,00;121.000.000,00;9.000.000,00;
BB - 2019075;12801;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Despesas de capital constantes do PPA e da LOA. Lei Municipal nº 11.147, de 7 de janeiro de 2019";17944.101042/2019-28;2019000700;14/05/2019;30/06/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 118% CDI Juros + 0%, Tranche Prevista 1: 118% CDI Juros + 0%;R$;180.000.000,00;120.000.000,00;60.000.000,00;
BB - 2019098;12868;Joinville;Municípios;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;;Interna;BB;Bancos Federais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Financiamento de despesas de capital constantes do plano plurianual (PPA) e da Lei Orçamentária Anual (LOA 2019). Lei Municipal nº 8.702, de 06 de junho de 2019.";17944.102082/2019-97;2019001527;09/08/2019;30/12/2021;;Tranche Prevista 1: Pós-fixado;Tranche Prevista 1: 120% CDI Juros + 0%;R$;100.000.000,00;100.000.000,00;0,00;
BB Viena 01/2013;12226;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BB Viena;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Recuperação da Bacia Hidrográfica da Pampulha";17944.000216/2013-41;BBVie113;20/12/2013;01/01/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 3,75%, Tranche Prevista 1: 100% Libor + 3,75%;USD;75.000.000,00;0,00;57.000.000,00;
BBVA-TO/2012;12256;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BBVA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Infraestrutura Rodoviária ¿ PIER";17944.000574/2012-72;BBVATO12;19/11/2012;31/12/2017;;Tranche Efetiva 1: Pré-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 4,73%, Tranche Prevista 1: 4,73%;USD;143.198.163,00;0,00;29.234.279,12;
BEI FI N. 0.2175;12217;TBG;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Externa;BEI;Organismos Multilaterais;Recursos creditados mensalmente à conta de Serviço da Dívida MLAs;Concluído;"Projeto Brasil-Bolívia Gasoduto";10951.000061/1998-12;BEI02175;23/11/1998;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,15%, Tranche Prevista 1: 100% Libor + 0,15%;USD;60.000.000,00;0,00;0,00;
BEI FI N. 83193;12216;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BEI;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Aquisição de Trens para a Companhia Paulista de Trens Metropolitanos do Estado de São Paulo";17944.000379/2014-12;BEI20141;20/10/2014;20/10/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% EURIBOR6m + 0,041%, Tranche Efetiva 2: 100% EURIBOR6m + 0,041%, Tranche Prevista 1: 100% EURIBOR6m + 0,041%;EUR;200.000.000,00;0,00;200.000.000,00;
BID 3866/OC-BR;12607;BNDES;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Totalmente Desembolsado;"Programa de Financiamento para Energia Sustentável - Convênio de Linha de Crédito Condicional (CCLIP)";10951.000799/2016-14;TA785483;10/11/2017;10/11/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;750.000.000,00;0,00;750.000.000,00;
BID 695/OC-BR;11827;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir.";00101.680056/0692-00;LINHA004;09/12/1992;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;159.300.000,00;0,00;0,00;
BID 869/SF-BR;11828;Pará;Estados;PA;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir.";00101.680073/7691-33;LINHA009;27/01/1993;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 100% BID SCL 1 + 0%;USD;30.000.000,00;0,00;0,00;
BID1019/OC-BR;11893;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Concluído;"A definir";00109.510004/5497-46;Linha026;19/12/1997;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% CPS BID + 0%, Tranche Prevista 1: 100% CPS BID + 0%;USD;115.000.000,00;0,00;0,00;
BID1037/OC-BR;12028;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BID;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Baixada Viva - Urbanização Integrada de Bairros da Baixada Fluminense";10951.000654/1997-35;S9723852;28/07/1999;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pré-fixado;Tranche Efetiva 1: 100% BID SCL 1 + 0%, Tranche Prevista 1: 4,84%;USD;180.000.000,00;0,00;45.517.109,86;
BID1051/OC-BR;11950;ELETROBRÁS;Estatais Federais;00;Federal;Garantias a Estatais Federais;;Externa;BID;Organismos Multilaterais;Créditos da Eletrobrás junto a sua controlada CHESF - Cia Hidroelétrica do São Francisco;Concluído;"A definir.";10951.000862/1997-52;S9747785;06/04/1998;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% BID SCFL 1 + 0%, Tranche Prevista 1: 100% BID SCFL 1 + 0%;USD;307.000.000,00;0,00;0,00;
